frame_id,x,y
recording_1056705816066784_frame_10,830.2935765379182,675.1887369387931
recording_1056705816066784_frame_20,808.0976191483737,692.3557433195758
recording_1056705816066784_frame_30,472.14166588180547,817.7362783620579
recording_1056705816066784_frame_40,385.7125174339327,805.4300705081337
recording_1056705816066784_frame_50,703.4399233333899,761.4022908063292
recording_1056705816066784_frame_60,674.456799600442,696.2253002705926
recording_1056705816066784_frame_70,778.3815302803041,754.9404711308732
recording_1056705816066784_frame_80,947.8313228039021,663.7721572268666
recording_1056705816066784_frame_90,696.0819635082588,718.7311557616259
recording_1056705816066784_frame_100,779.40725111353,740.6182553212004
recording_1056705816066784_frame_110,729.324058067554,768.6925708849552
recording_1056705816066784_frame_120,799.8847846758865,798.6587953383652
recording_1056705816066784_frame_130,681.4650730593147,664.6441423457144
recording_1056705816066784_frame_140,625.8402875004585,736.6518520196018
recording_1056705816066784_frame_150,666.6393614182954,810.4217937006341
recording_1056705816066784_frame_160,872.584603114119,864.6842569801138
recording_1056705816066784_frame_170,959.1287423211483,689.0450123073364
recording_1056705816066784_frame_180,695.3353853696908,764.8854187235033
recording_1056705816066784_frame_190,846.8171957640634,697.8274777456598
recording_1056705816066784_frame_200,751.8339020755584,709.318137896985
recording_1056705816066784_frame_210,737.1728160179632,859.479509315182
recording_1056705816066784_frame_220,818.9933865582665,709.0182821517661
recording_1056705816066784_frame_230,799.7118101935222,640.4778855593655
recording_1056705816066784_frame_240,863.2603580555915,785.2275311700632
recording_1056705816066784_frame_250,797.4374776715581,790.2806801195978
recording_1056705816066784_frame_260,809.8614005040897,807.4870240162504
recording_1056705816066784_frame_270,809.3449921652516,851.1057505989427
recording_1056705816066784_frame_280,809.4527467533148,783.3431787945158
recording_1056705816066784_frame_290,808.3720538184465,817.6424439950985
recording_1056705816066784_frame_300,1049.0648427872377,689.8469766534012
recording_1056705816066784_frame_310,677.8725719341567,668.9638233363195
recording_1056705816066784_frame_320,838.4435747804586,832.0818893229855
recording_1056705816066784_frame_330,663.2439712882219,878.2272559304938
recording_1056705816066784_frame_340,735.3850983916038,707.0459114279363
recording_1056705816066784_frame_350,679.1483156532898,667.5163823118836
recording_1056705816066784_frame_360,453.0431843442168,766.9538583744544
recording_1056705816066784_frame_370,645.9699572190027,748.5913201442405
recording_1056705816066784_frame_380,931.9532847584035,722.4738735709803
recording_1056705816066784_frame_390,756.8909209121255,707.65772479772
recording_1056705816066784_frame_400,775.0778995814715,770.989438699295
recording_1056705816066784_frame_410,681.0494978484118,690.9278600878365
recording_1056705816066784_frame_420,760.108011695615,881.378020073082
recording_1056705816066784_frame_430,808.3408562905794,785.4511278934704
recording_1056705816066784_frame_440,740.2363295157865,879.3631126383414
recording_1056705816066784_frame_450,674.121398903953,634.6172275854284
recording_1056705816066784_frame_460,565.3537934590248,799.6115325807809
recording_1056705816066784_frame_470,893.3028777527893,857.8347387214659
recording_1056705816066784_frame_480,631.4300116145238,892.6233019094065
recording_1056705816066784_frame_490,912.8726463614471,724.4916479314523
recording_1056705816066784_frame_500,793.4207537276234,763.1551205235138
recording_1056705816066784_frame_510,832.6762522376322,646.868943969534
recording_1056705816066784_frame_520,703.1416885261661,689.5095099411958
recording_1056705816066784_frame_530,723.453880578529,895.930521514987
recording_1056705816066784_frame_540,825.2462472424724,780.7285251293968
recording_1056705816066784_frame_550,794.1136053960621,772.4064294413795
recording_1056705816066784_frame_560,747.7726333580806,822.9057562309786
recording_1056705816066784_frame_570,735.8454083102571,671.3638148357613
recording_1056705816066784_frame_580,812.989639061586,694.5481196874877
recording_1056705816066784_frame_590,482.3119292554162,813.4315651369124
recording_1056705816066784_frame_600,668.4629500278846,799.7328876288558
recording_1056705816066784_frame_610,606.2080504935072,791.6039804804618
recording_1056705816066784_frame_620,801.7834738641245,699.6039974620408
recording_1056705816066784_frame_630,571.0577336918183,902.5299671122607
recording_1056705816066784_frame_640,813.0923352159074,759.7785923665081
recording_1056705816066784_frame_650,705.9759447993865,692.815667864659
recording_1056705816066784_frame_660,828.3245035586428,783.9479046533269
recording_1056705816066784_frame_670,761.4876122192428,685.9565395313389
recording_1056705816066784_frame_680,618.3129286782471,709.0947913052429
recording_1056705816066784_frame_690,710.6966558587227,768.0860756528099
recording_1056705816066784_frame_700,681.0907017796541,771.2596095974467
recording_1056705816066784_frame_710,640.8054863280325,735.7001200639181
recording_1056705816066784_frame_720,725.4102795740489,826.7845254437193
recording_1056705816066784_frame_730,614.2290324315711,771.1553465743473
recording_1056705816066784_frame_740,551.0792691375323,686.5199064177176
recording_1056705816066784_frame_750,680.186380435922,669.9647849109155
recording_1056705816066784_frame_760,603.426135840705,783.1471022190128
recording_1056705816066784_frame_770,683.9745388288818,753.1677007695531
recording_1056705816066784_frame_780,683.7539266062239,679.0581983873849
recording_1056705816066784_frame_790,697.8346656313028,761.749712758791
recording_1056705816066784_frame_800,893.8241733903026,791.8327369128278
recording_1056705816066784_frame_810,657.306378805685,886.2330005428091
recording_1056705816066784_frame_820,811.8333768955973,773.2181950893136
recording_1056705816066784_frame_830,761.6687314970255,695.5628094922254
recording_1056705816066784_frame_840,774.348712464393,871.1182857529639
recording_1056705816066784_frame_850,823.8460119507573,666.5917498006586
recording_1056705816066784_frame_860,919.1173342512395,724.5771094404727
recording_1056705816066784_frame_870,670.1716614349778,657.5144756026867
recording_1056705816066784_frame_880,650.08836414862,686.554330464789
recording_1056705816066784_frame_890,906.8542819609055,692.6358078801303
recording_1056705816066784_frame_900,670.0770354652717,679.5372054323285
recording_1056705816066784_frame_910,839.3910826184792,750.4357858707527
recording_1056705816066784_frame_920,705.0366926835592,671.8817755348979
recording_1056705816066784_frame_930,548.666372981454,691.9248596685902
recording_1056705816066784_frame_940,618.7694615834229,788.1909655609204
recording_1056705816066784_frame_950,805.6064039487273,853.2337555133414
recording_1056705816066784_frame_960,737.9410812457678,888.768736535638
recording_1056705816066784_frame_970,807.8426388236967,692.7172693070138
recording_1056705816066784_frame_980,697.4756360566898,719.314665112814
recording_1056705816066784_frame_990,982.5415581115403,720.9363050531153
recording_1056705816066784_frame_1000,645.0096103103401,696.393720665527
recording_1056705816066784_frame_1010,931.3299442356498,853.1660575882829
recording_1056705816066784_frame_1020,1127.7489744236595,901.0972228112417
recording_1056705816066784_frame_1030,457.9663412338904,818.3062101103445
recording_1056705816066784_frame_1040,770.1790521472949,854.9694250665289
recording_1056705816066784_frame_1050,752.2650682567576,832.5585628764386
recording_1056705816066784_frame_1060,925.78480242377,734.6905350748654
recording_1056705816066784_frame_1070,793.7988288786639,719.1849446368551
recording_1056705816066784_frame_1080,699.7552677528498,760.8466823503453
recording_1056705816066784_frame_1090,608.3818415388503,715.1932426345678
recording_1056705816066784_frame_1100,638.1489972026905,741.5931303786716
recording_1056705816066784_frame_1110,673.2167305378093,683.737237970351
recording_1056705816066784_frame_1120,1015.8610982982927,769.5320904058916
recording_1056705816066784_frame_1130,917.5158484980636,732.6088649617404
recording_1056705816066784_frame_1140,808.6415197098196,748.1941825153774
recording_1056705816066784_frame_1150,835.4208183839103,685.9692354178871
recording_1056705816066784_frame_1160,750.5303301713953,672.1564392241312
recording_1056705816066784_frame_1170,830.373789917253,783.507251534196
recording_1056705816066784_frame_1180,755.1833132126803,705.307747149376
recording_1056705816066784_frame_1190,822.6712342844511,774.7190453362701
recording_1056705816066784_frame_1200,747.0765977565686,752.905617237875
recording_1056705816066784_frame_1210,687.1981247711644,798.3388550099502
recording_1056705816066784_frame_1220,702.6953831945651,746.4103458484296
recording_1056705816066784_frame_1230,696.2035559776501,784.0852175051534
recording_1056705816066784_frame_1240,476.8757220345069,810.2531853426981
recording_1056705816066784_frame_1250,791.17703401576,835.2053510356848
recording_1056705816066784_frame_1260,830.9486035716989,782.6409308704525
recording_1056705816066784_frame_1270,779.8866473885101,844.8436065100809
recording_1056705816066784_frame_1280,703.3940143210887,671.2131668035883
recording_1056705816066784_frame_1290,857.2513644146546,841.4618923006717
recording_1056705816066784_frame_1300,817.3597667979309,773.143797963159
recording_1056705816066784_frame_1310,809.3902255335056,689.3840768553348
recording_1056705816066784_frame_1320,376.30992640535624,805.4262852570218
recording_1056705816066784_frame_1330,732.6771856725753,751.7803200087478
recording_1056705816066784_frame_1340,784.0965667982738,678.4860678581376
recording_1056705816066784_frame_1350,909.0905379293907,884.0400352420943
recording_1056705816066784_frame_1360,609.1759147562656,807.5864281002132
recording_1056705816066784_frame_1370,713.7342252638028,717.6604089629014
recording_1056705816066784_frame_1380,874.218035080522,805.9732758189385
recording_1056705816066784_frame_1390,683.131270841703,704.6042191318617
recording_1056705816066784_frame_1400,783.7915218349865,743.4312794801714
recording_1056705816066784_frame_1410,805.4226506708079,856.4536747046554
recording_1056705816066784_frame_1420,707.0026345025464,831.2967372636629
recording_1056705816066784_frame_1430,875.4977160826355,854.8370841018206
recording_1056705816066784_frame_1440,692.2496937922449,887.0246115156202
recording_1056705816066784_frame_1450,683.2141245926919,838.3643741296237
recording_1056705816066784_frame_1460,659.0930706164058,806.3501467594008
recording_1056705816066784_frame_1470,1150.1416079537423,903.0803189092748
recording_1056705816066784_frame_1480,899.1712932271014,726.735144627937
recording_1056705816066784_frame_1490,820.245162817244,699.9607031288213
recording_1056705816066784_frame_1500,790.4366113081462,775.7998644816594
recording_1056705816066784_frame_1510,932.1669514032343,705.240861007262
recording_1056705816066784_frame_1520,722.8282993417005,660.21160290759
recording_1056705816066784_frame_1530,872.6854172564373,687.5289592578954
recording_1056705816066784_frame_1540,677.8670441554168,711.5527316650961
recording_1056705816066784_frame_1550,802.5356356233178,629.2220939215532
recording_1056705816066784_frame_1560,702.3825040375001,782.3282071797254
recording_1056705816066784_frame_1570,874.1546465964694,799.6601004248803
recording_1056705816066784_frame_1580,812.7850405338841,699.1840019639988
recording_1056705816066784_frame_1590,951.5793745859794,732.6846266595702
recording_1056705816066784_frame_1600,783.8658519064802,857.3766067648905
recording_1056705816066784_frame_1610,802.1608933379273,770.4062262853777
recording_1056705816066784_frame_1620,869.7541641758949,860.7448630609937
recording_1056705816066784_frame_1630,923.4376027525448,659.7411334705337
recording_1056705816066784_frame_1640,846.4102577999755,651.8301303716936
recording_1056705816066784_frame_1650,775.1918379657858,623.0618781569242
recording_1056705816066784_frame_1660,820.675689061007,699.1867144646418
recording_1056705816066784_frame_1670,760.3767858185536,688.1652685559944
recording_1056705816066784_frame_1680,705.5098297949897,670.8436461154264
recording_1056705816066784_frame_1690,824.5623028686358,768.4484523294441
recording_1056705816066784_frame_1700,717.023167487788,659.8540331948332
recording_1056705816066784_frame_1710,456.8481005965448,828.8661510195207
recording_1056705816066784_frame_1720,764.1321839492196,753.7202810398546
recording_1056705816066784_frame_1730,667.5315057514806,664.2389272388668
recording_1056705816066784_frame_1740,683.1192929399475,673.250137987077
recording_1056705816066784_frame_1750,684.8899382224931,690.6761854969217
recording_1056705816066784_frame_1760,613.6698125566156,778.8393690056131
recording_1056705816066784_frame_1770,1025.288204326521,739.0131611066697
recording_1056705816066784_frame_1780,681.4661413419067,653.5830459447664
recording_1056705816066784_frame_1790,678.2009846704035,634.6597642996041
recording_1056705816066784_frame_1800,827.0355626182277,685.9671920110802
recording_1056705816066784_frame_1810,804.7601970631873,651.1929131427529
recording_1056705816066784_frame_1820,783.4259410876275,615.2298938133054
recording_1056705816066784_frame_1830,785.8968561684261,772.0045084512174
recording_1056705816066784_frame_1840,713.9727696625891,701.9400051534247
recording_1056705816066784_frame_1850,705.6026933810932,898.4542734105169
recording_1056705816066784_frame_1860,910.4814150011957,644.07947074767
recording_1056705816066784_frame_1870,808.2022281130461,792.234400209458
recording_1056705816066784_frame_1880,783.5878767109164,773.5315491256504
recording_1056705816066784_frame_1890,888.2854758201945,803.1288798266072
recording_1056705816066784_frame_1900,952.570713705687,751.9900767958022
recording_1056705816066784_frame_1910,748.5963810839307,885.301587234602
recording_1056705816066784_frame_1920,917.7101500783234,767.5866752431863
recording_1056705816066784_frame_1930,595.4209152228138,705.0494571503814
recording_1056705816066784_frame_1940,868.0692324749342,665.6057823793473
recording_1056705816066784_frame_1950,831.4015639611448,641.7152102763348
recording_1056705816066784_frame_1960,598.8132777662175,784.2937659642726
recording_1056705816066784_frame_1970,616.9490042874307,801.9331684501748
recording_1056705816066784_frame_1980,808.4757008856042,730.6223193979124
recording_1056705816066784_frame_1990,838.6536130292754,741.0691584919963
recording_1056705816066784_frame_2000,822.5354309334897,824.6671115880213
recording_9262399620441214_frame_10,801.9977047178418,780.936856884548
recording_9262399620441214_frame_20,562.8186055355287,915.9287232751001
recording_9262399620441214_frame_30,1112.2134664580312,806.9098246640663
recording_9262399620441214_frame_40,656.2444265759325,868.322681572733
recording_9262399620441214_frame_50,872.0942382870992,914.9052320299307
recording_9262399620441214_frame_60,1077.778161015795,749.5166082161367
recording_9262399620441214_frame_70,926.8145762210418,938.3996428035714
recording_9262399620441214_frame_80,442.4738245976216,772.7112671063503
recording_9262399620441214_frame_90,726.1691671633808,994.1308628529698
recording_9262399620441214_frame_100,852.9970687138144,884.7980964308922
recording_9262399620441214_frame_110,717.6518525083043,816.3959818568188
recording_9262399620441214_frame_120,915.9504394824348,937.0985459491154
recording_9262399620441214_frame_130,780.7614589899231,998.3629764043064
recording_9262399620441214_frame_140,838.4767361068991,980.581268563946
recording_9262399620441214_frame_150,845.5929591854831,761.2447981970172
recording_9262399620441214_frame_160,838.8803338077756,1040.5844226608058
recording_9262399620441214_frame_170,867.6622052189153,1057.689244385914
recording_9262399620441214_frame_180,924.6075798806123,799.0233593286853
recording_9262399620441214_frame_190,880.1697894368867,944.575282892724
recording_9262399620441214_frame_200,994.1884440340812,703.5734681347882
recording_9262399620441214_frame_210,804.2693674319406,903.387712431754
recording_9262399620441214_frame_220,809.6522066704127,1138.6379383001197
recording_9262399620441214_frame_230,620.994982792614,835.4933143211069
recording_9262399620441214_frame_240,722.1302462779338,983.6059056561189
recording_9262399620441214_frame_250,840.19131044298,988.8595870950076
recording_9262399620441214_frame_260,853.6040531827464,810.2630982645992
recording_9262399620441214_frame_270,769.928682892033,900.0997172398562
recording_9262399620441214_frame_280,844.4673785465263,1009.8433665618493
recording_9262399620441214_frame_290,965.0815855493477,925.4664389214522
recording_9262399620441214_frame_300,805.615298658263,1005.620504993716
recording_9262399620441214_frame_310,801.8168307023809,994.0178876620305
recording_9262399620441214_frame_320,855.2682076177327,992.8928222730627
recording_9262399620441214_frame_330,911.7405595486509,940.38493130333
recording_9262399620441214_frame_340,777.6904524238262,844.0669971656304
recording_9262399620441214_frame_350,1104.0930572228792,802.3806659818459
recording_9262399620441214_frame_360,676.1123014016977,987.7367586220887
recording_9262399620441214_frame_370,912.4339807569896,918.564528443347
recording_9262399620441214_frame_380,883.8475790564236,993.8687025447509
recording_9262399620441214_frame_390,817.8800135420703,886.2104781733667
recording_9262399620441214_frame_400,912.109412543567,957.7682947773919
recording_9262399620441214_frame_410,825.2366752016018,835.7327114523084
recording_9262399620441214_frame_420,775.3038136005966,874.6609612693355
recording_9262399620441214_frame_430,847.2377936882517,828.0670006769733
recording_9262399620441214_frame_440,621.3795187217365,836.4669513567823
recording_9262399620441214_frame_450,951.9117327255826,974.3722206891937
recording_9262399620441214_frame_460,853.2079675517741,944.775763458083
recording_9262399620441214_frame_470,825.95620423995,1048.6892751147539
recording_9262399620441214_frame_480,898.4524991014074,992.7144869132487
recording_9262399620441214_frame_490,768.7467251659375,947.3605431548885
recording_9262399620441214_frame_500,885.410394991497,912.8085263644768
recording_9262399620441214_frame_510,842.729123644111,984.1287948522256
recording_9262399620441214_frame_520,789.2198034002547,912.7652777196042
recording_9262399620441214_frame_530,840.0074683191128,969.156994913265
recording_9262399620441214_frame_540,760.3393040404536,932.798309590473
recording_9262399620441214_frame_550,951.0950096445129,1040.4857776898118
recording_9262399620441214_frame_560,906.3607040671811,902.385052253955
recording_9262399620441214_frame_570,876.7470149244803,979.0702671202746
recording_9262399620441214_frame_580,720.4062872941764,879.6026310425821
recording_9262399620441214_frame_590,915.7236682388643,952.6673861556487
recording_9262399620441214_frame_600,675.7498463838972,912.0328938480513
recording_9262399620441214_frame_610,909.633134440534,992.6110530450408
recording_9262399620441214_frame_620,787.8051901624764,1008.6960361924284
recording_9262399620441214_frame_630,819.4922550491908,982.570381559508
recording_9262399620441214_frame_640,881.227320623643,980.1465968077796
recording_9262399620441214_frame_650,857.9146741178425,986.0692253943662
recording_9262399620441214_frame_660,843.4251991263517,876.4019978878218
recording_9262399620441214_frame_670,939.0976770552802,918.6835775466195
recording_9262399620441214_frame_680,864.9486522662996,994.1376880324212
recording_9262399620441214_frame_690,892.8842373387265,816.8032570658165
recording_9262399620441214_frame_700,894.3229569103008,937.090245837116
recording_9262399620441214_frame_710,835.9778506982652,914.574093080194
recording_9262399620441214_frame_720,836.2695559534071,893.055711476886
recording_9262399620441214_frame_730,635.6481532541446,1024.2553599890684
recording_9262399620441214_frame_740,815.5352773930498,786.548424838505
recording_9262399620441214_frame_750,827.0160883250098,953.3533948512907
recording_9262399620441214_frame_760,813.9878505279302,796.0857669872064
recording_9262399620441214_frame_770,921.900722576545,786.3946369084262
recording_9262399620441214_frame_780,779.2390089133899,913.3553466622543
recording_9262399620441214_frame_790,788.5070866009997,793.3156421233689
recording_9262399620441214_frame_800,845.877585420496,985.3739863971177
